Name,Type,Province,District,Category,Google_Search_Keyword
Sigiriya Rock Fortress,Attraction,Central,Matale,UNESCO Heritage Site,Sigiriya Sri Lanka UNESCO site
Dambulla Cave Temple,Attraction,Central,Matale,Buddhist Heritage Temple,Dambulla Cave Temple Sri Lanka
Temple of the Tooth Relic,Attraction,Central,Kandy,Religious Temple,Temple of the Tooth Kandy Sri Lanka
Peradeniya Botanical Garden,Attraction,Central,Kandy,Nature & Scenic,Peradeniya Botanical Garden Kandy
Kandy Lake,Attraction,Central,Kandy,Nature & Scenic,Kandy Lake Sri Lanka scenic spot
Knuckles Mountain Range,Attraction,Central,Matale,Adventure Hiking,Knuckles Mountain Range Sri Lanka hike
Horton Plains National Park,Attraction,Central,Nuwara Eliya,Nature & Wildlife,Horton Plains National Park Sri Lanka trekking
World's End Viewpoint,Attraction,Central,Nuwara Eliya,Scenic Viewpoint,World's End Horton Plains Sri Lanka
Gregory Lake,Attraction,Central,Nuwara Eliya,Nature & Scenic,Gregory Lake Nuwara Eliya Sri Lanka
Ramboda Falls,Attraction,Central,Nuwara Eliya,Waterfall,Ramboda Falls Sri Lanka waterfall
Galle Fort,Attraction,Southern,Galle,Historical Colonial Fort,Galle Fort Sri Lanka UNESCO site
Unawatuna Beach,Attraction,Southern,Galle,Beach & Leisure,Unawatuna Beach Sri Lanka
Mirissa Beach,Attraction,Southern,Matara,Beach & Whale Watching,Mirissa Beach Sri Lanka whale watching
Hikkaduwa Coral Reef,Attraction,Southern,Galle,Marine & Snorkeling,Hikkaduwa Coral Reef Sri Lanka snorkeling
Yala National Park Safari Entry,Attraction,Southern,Hambantota,Wildlife Safari,Yala National Park Safari Sri Lanka
Udawalawe National Park,Attraction,Southern,Monaragala,Wildlife Safari,Udawalawe National Park Sri Lanka
Weligama Bay,Attraction,Southern,Matara,Surf & Beach,Weligama Bay Sri Lanka surfing
Matara Paravi Duwa Temple,Attraction,Southern,Matara,Religious Temple,Matara Paravi Duwa Temple Sri Lanka
Tangalle Beach,Attraction,Southern,Hambantota,Beach & Leisure,Tangalle Beach Sri Lanka
Galle Lighthouse,Attraction,Southern,Galle,Coastal Historical,Galle Lighthouse Sri Lanka colonial point
Galle Face Green,Attraction,Western,Colombo,City & Leisure,Galle Face Green Colombo Sri Lanka
Colombo Lotus Tower,Attraction,Western,Colombo,City Landmark,Colombo Lotus Tower Sri Lanka
Gangaramaya Temple,Attraction,Western,Colombo,Religious Temple,Gangaramaya Temple Colombo Sri Lanka
Independence Square Arcade,Attraction,Western,Colombo,Historical Landmark,Independence Square Arcade Colombo
Mount Lavinia Beach,Attraction,Western,Colombo,Beach & Leisure,Mount Lavinia Beach Sri Lanka
Pettah Floating Market,Attraction,Western,Colombo,Market & Culture,Pettah Market Colombo Sri Lanka
Kelaniya Raja Maha Vihara,Attraction,Western,Gampaha,Buddhist Temple,Kelaniya Raja Maha Vihara Sri Lanka
Negombo Lagoon,Attraction,Western,Gampaha,Nature & Scenic,Negombo Lagoon Sri Lanka boat ride
Dutch Canal Negombo,Attraction,Western,Gampaha,Canal & Scenic,Dutch Canal Negombo Sri Lanka
Kalutara Bodhiya,Attraction,Western,Kalutara,Religious Temple,Kalutara Bodhiya Sri Lanka shrine
Adams Peak Sri Pada Base,Attraction,Sabaragamuwa,Ratnapura,Pilgrimage & Hiking,Adam's Peak Sri Pada Sri Lanka
Ratnapura Gem Museum,Attraction,Sabaragamuwa,Ratnapura,Museum & Culture,Ratnapura Gem Museum Sri Lanka
Sinharaja Rainforest Entry,Attraction,Sabaragamuwa,Ratnapura,Tropical Rainforest Reserve,Sinharaja Forest Sri Lanka trekking
Bopath Ella Waterfall,Attraction,Sabaragamuwa,Ratnapura,Waterfall,Bopath Ella Sri Lanka waterfall
Kitulgala Adventure Camp,Attraction,Sabaragamuwa,Kegalle,White Water Rafting,Kitulgala White Water Rafting Sri Lanka
Elephant Freedom Project,Attraction,Sabaragamuwa,Kegalle,Elephant Sanctuary,Elephant Freedom Project Sri Lanka
Kithulgala River Bridge,Attraction,Sabaragamuwa,Kegalle,Adventure & Scenic,Kithulgala Bridge Sri Lanka adventure
Saman Devale Temple,Attraction,Sabaragamuwa,Ratnapura,Religious Temple,Saman Devale Ratnapura Sri Lanka
Aberdeen Falls Entry Point,Attraction,Sabaragamuwa,Kegalle,Nature & Waterfall, Aberdeen Falls Sri Lanka
Belihuloya Scenic Valley,Attraction,Sabaragamuwa,Ratnapura,Mountain Valley,Belihuloya Sri Lanka travel spot
Anuradhapura Sacred City,Attraction,North Central,Anuradhapura,UNESCO Heritage Site,Anuradhapura Sacred City Sri Lanka
Ruwanwelisaya Stupa,Attraction,North Central,Anuradhapura,Religious Heritage,Ruwanwelisaya Anuradhapura Sri Lanka
Jaya Sri Maha Bodhi Tree,Attraction,North Central,Anuradhapura,Sacred Buddhist Site,Jaya Sri Maha Bodhi Anuradhapura
Mihintale Ancient Monastery,Attraction,North Central,Anuradhapura,Religious Heritage,Mihintale Monastery Sri Lanka
Twin Baths Kuttam Pokuna,Attraction,North Central,Anuradhapura,Archaeological Site,Kuttam Pokuna Sri Lanka
Gal Vihara Rock Temple,Attraction,North Central,Polonnaruwa,UNESCO Heritage Temple,Gal Vihara Polonnaruwa Sri Lanka
Polonnaruwa Vatadage,Attraction,North Central,Polonnaruwa,Ruins & Heritage Site,Polonnaruwa Vatadage Sri Lanka
Parakrama Samudra,Attraction,North Central,Polonnaruwa,Lake & Ancient Reservoir,Parakrama Samudra Polonnaruwa Sri Lanka
Royal Palace of King Parakramabahu,Attraction,North Central,Polonnaruwa,Ancient Palace Ruins,Parakramabahu Palace Polonnaruwa Sri Lanka
Minneriya National Park,Attraction,North Central,Polonnaruwa,Wildlife Safari,Minneriya National Park Sri Lanka elephants
Puttalam Lagoon,Attraction,North Western,Puttalam,Coastal Lagoon,Puttalam Lagoon Sri Lanka
Kalpitiya Beach,Attraction,North Western,Puttalam,Kite Surfing & Beach,Kalpitiya Beach Sri Lanka kitesurf
Wilpattu National Park Entry,Attraction,North Western,Puttalam,Wildlife Safari,Wilpattu National Park Safari Sri Lanka
Munneswaram Kovil,Attraction,North Western,Puttalam,Hindu Temple,Munneswaram Temple Puttalam Sri Lanka
Chilaw Beach Park,Attraction,North Western,Puttalam,Beach & Leisure,Chilaw Beach Sri Lanka
Kurunegala Elephant Rock,Attraction,North Western,Kurunegala,Scenic View & Rock,Haththikuchchi Rock Kurunegala Sri Lanka
Yapahuwa Rock Fortress,Attraction,North Western,Kurunegala,Ancient Fortress,Yapahuwa Rock Fortress Sri Lanka
Ridi Viharaya Temple,Attraction,North Western,Kurunegala,Ancient Temple,Ridi Viharaya Kurunegala Sri Lanka
Ethagala Rock Viewpoint,Attraction,North Western,Kurunegala,Scenic Hill View,Ethagala Rock View Sri Lanka
Haththikuchchi Archaeological Ruins,Attraction,North Western,Kurunegala,Ancient Ruins,Haththikuchchi Ruins Sri Lanka
Nallur Kandaswamy Kovil,Attraction,Northern,Jaffna,Hindu Temple,Nallur Kovil Jaffna Sri Lanka
Jaffna Fort,Attraction,Northern,Jaffna,Historical Fort,Jaffna Fort Sri Lanka
Casuarina Beach,Attraction,Northern,Jaffna,Beach & Scenic,Casuarina Beach Jaffna Sri Lanka
Nagadeepa Purana Viharaya,Attraction,Northern,Jaffna,Religious Buddhist Temple,Nagadeepa Temple Jaffna Sri Lanka boat ride
Dambakola Patuna Temple,Attraction,Northern,Jaffna,Historical Temple,Dambakola Patuna Viharaya Sri Lanka
Point Pedro Lighthouse,Attraction,Northern,Jaffna,Coastal Landmark,Point Pedro Lighthouse Sri Lanka
Keerimalai Hot Springs,Attraction,Northern,Jaffna,Natural Hot Spring,Keerimalai Hot Springs Jaffna Sri Lanka
Mannar Dutch Fort,Attraction,Northern,Mannar,Colonial Fort,Mannar Dutch Fort Sri Lanka
Adams Bridge Sand Banks,Attraction,Northern,Mannar,Nature & Scenic,Adams Bridge Mannar Sri Lanka sandbank
Thiruketheeswaram Temple,Attraction,Northern,Mannar,Ancient Hindu Temple,Thiruketheeswaram Temple Mannar Sri Lanka
Nilaveli Beach,Attraction,Eastern,Trincomalee,Beach & Diving,Nilaveli Beach Sri Lanka snorkeling
Pigeon Island National Park,Attraction,Eastern,Trincomalee,Marine National Park,Pigeon Island Trincomalee Sri Lanka
Koneswaram Kovil,Attraction,Eastern,Trincomalee,Cliffside Hindu Temple,Koneswaram Temple Trincomalee Sri Lanka
Marble Beach Trincomalee,Attraction,Eastern,Trincomalee,Beach & Scenic,Marble Beach Sri Lanka Trincomalee
Batticaloa Lagoon,Attraction,Eastern,Batticaloa,Lagoon & Scenic,Batticaloa Lagoon Sri Lanka boat ride
Dutch Fort Batticaloa,Attraction,Eastern,Batticaloa,Colonial Fort,Batticaloa Dutch Fort Sri Lanka
Pasikuda Beach,Attraction,Eastern,Batticaloa,Beach & Leisure,Pasikuda Beach Sri Lanka
Arugam Bay Point Surf Spot,Attraction,Eastern,Ampara,Surfing & Beach,Arugam Bay Surfing Sri Lanka
Lahugala National Park,Attraction,Eastern,Ampara,Wildlife Park,Lahugala National Park Ampara Sri Lanka
Kudumbigala Monastery Cave,Attraction,Eastern,Ampara,Ancient Cave Temple,Kudumbigala Monastery Sri Lanka
Ella Rock Viewpoint,Attraction,Uva,Badulla,Hiking & Scenic,Ella Rock Sri Lanka hike viewpoint
Nine Arches Bridge,Attraction,Uva,Badulla,Iconic Railway Bridge,Nine Arches Bridge Ella Sri Lanka
Little Adam’s Peak,Attraction,Uva,Badulla,Hiking Trail,Little Adam's Peak Ella Sri Lanka
Diyaluma Falls Base Point,Attraction,Uva,Badulla,Waterfall & Natural Pool,Diyaluma Falls Sri Lanka swimming spot
Rawana Falls Scenic Stop,Attraction,Uva,Badulla,Waterfall,Rawana Falls Ella Sri Lanka
Lipton Seat Viewpoint,Attraction,Uva,Badulla,Tea Plantation Hill View,Lipton Seat Sri Lanka viewpoint
Demodara Loop Railway,Attraction,Uva,Badulla,Railway Scenic Spot,Demodara Loop Ella Sri Lanka
Namunukula Mountain Range,Attraction,Uva,Monaragala,Highland Trekking,Namunukula Mountain Sri Lanka hike
Buduruwagala Ancient Stone Carvings,Attraction,Uva,Monaragala,Ancient Buddhist Site,Buduruwagala Temple Monaragala Sri Lanka
Madulsima Mini Worlds End,Attraction,Uva,Badulla,Scenic Cliffs,Madulsima Worlds End Sri Lanka viewpoint
Koggala Beach,Attraction,Southern,Galle,Beach & Surf,Koggala Beach Sri Lanka
Hiriketiya Bay,Attraction,Southern,Matara,Surf & Beach,Hiriketiya Surf Beach Sri Lanka
Madiha Surf Point,Attraction,Southern,Matara,Surf Spot,Madiha Surf Matara Sri Lanka
Talalla Beach,Attraction,Southern,Hambantota,Hidden Beach,Talalla Secret Beach Sri Lanka
Dondra Lighthouse,Attraction,Southern,Matara,Historical Lighthouse,Dondra Lighthouse Sri Lanka
Mannar Island Sand Dunes,Attraction,Northern,Mannar,Island Coastal,Mannar Island Sri Lanka dunes
Punkudutivu Island Jetty,Attraction,Northern,Jaffna,Island Exploration,Punkudutivu Island Jaffna Sri Lanka
Kitesurf Kalpitiya Lagoon,Attraction,North Western,Puttalam,Adventure Water Sports,Kalpitiya Lagoon Kitesurf Sri Lanka
Muthurajawela Wetland Boat Tour,Attraction,Western,Gampaha,Wetland Safari,Muthurajawela Marsh Boat Safari Sri Lanka
Bar Reef Marine Sanctuary,Attraction,North Western,Puttalam,Marine Sanctuary,Bar Reef Kalpitiya Sri Lanka snorkeling
